Time,LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Heat Load [W],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING_UNIT1::Des Latent Heat Load [W],LIVING_UNIT1::Des Latent Cool Load [W],LIVING_UNIT1::Des Latent Heat Mass Flow [kg/s],LIVING_UNIT1::Des Latent Cool Mass Flow [kg/s],LIVING_UNIT1::Des Heat Load No DOAS [W],LIVING_UNIT1::Des Sens Cool Load No DOAS [W],LIVING_UNIT1::Des Latent Heat Load No DOAS [W],LIVING_UNIT1::Des Latent Cool Load No DOAS [W],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Heating Zone Temperature [C],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Heating Zone Relative Humidity [%],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:15:00,0.000000E+00,7.066814E+02,0.000000E+00,5.336102E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499899E+01,4.596949E+01,2.499899E+01,4.596949E+01
00:30:00,0.000000E+00,6.295779E+02,0.000000E+00,4.753916E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499909E+01,4.638505E+01,2.499909E+01,4.638505E+01
00:45:00,0.000000E+00,5.557290E+02,0.000000E+00,4.196303E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499914E+01,4.682462E+01,2.499914E+01,4.682462E+01
01:00:00,0.000000E+00,4.853905E+02,0.000000E+00,3.665195E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499919E+01,4.728985E+01,2.499919E+01,4.728985E+01
01:15:00,0.000000E+00,4.252633E+02,0.000000E+00,3.211158E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499921E+01,4.777839E+01,2.499921E+01,4.777839E+01
01:30:00,0.000000E+00,3.699945E+02,0.000000E+00,2.793814E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499930E+01,4.828743E+01,2.499930E+01,4.828743E+01
01:45:00,0.000000E+00,3.185341E+02,0.000000E+00,2.405228E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499936E+01,4.881885E+01,2.499936E+01,4.881885E+01
02:00:00,0.000000E+00,2.696942E+02,0.000000E+00,2.036432E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499943E+01,4.937384E+01,2.499943E+01,4.937384E+01
02:15:00,0.000000E+00,2.253079E+02,0.000000E+00,1.701266E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499950E+01,4.995296E+01,2.499950E+01,4.995296E+01
02:30:00,0.000000E+00,1.840674E+02,0.000000E+00,1.389858E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499958E+01,5.055256E+01,2.499958E+01,5.055256E+01
