Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,3.387601E-02,3.915010E+02,8.288439E-02,8.573740E+02,1.343373E+03,2.799234E-01,4.681667E+03,3.387601E-02,0.000000E+00,0.000000E+00
00:20:00,3.387601E-02,3.951433E+02,6.487756E-02,6.508169E+02,1.091195E+03,2.862082E-01,4.633305E+03,3.387601E-02,0.000000E+00,0.000000E+00
00:30:00,3.387601E-02,3.987857E+02,4.762569E-02,4.504131E+02,8.396200E+02,3.600465E-01,5.427237E+03,3.387601E-02,0.000000E+00,0.000000E+00
00:40:00,3.387601E-02,4.024280E+02,3.387601E-02,2.858730E+02,6.256846E+02,4.113342E-01,5.871416E+03,3.387601E-02,0.000000E+00,0.000000E+00
00:50:00,3.387601E-02,4.060703E+02,3.387601E-02,2.822306E+02,6.219500E+02,4.590454E-01,6.219963E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:00:00,3.387601E-02,4.097127E+02,3.387601E-02,2.785883E+02,6.182158E+02,5.036738E-01,6.484006E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:10:00,3.387601E-02,4.121409E+02,3.387601E-02,2.761601E+02,6.157262E+02,4.504698E-01,5.802045E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:20:00,3.387601E-02,4.145691E+02,3.387601E-02,2.737318E+02,6.132365E+02,4.851810E-01,6.174894E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:30:00,3.387601E-02,4.169974E+02,3.387601E-02,2.713036E+02,6.107469E+02,4.505485E-01,5.803010E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:40:00,3.387601E-02,4.194256E+02,3.387601E-02,2.688754E+02,6.082579E+02,4.369694E-01,5.657129E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:50:00,3.387601E-02,4.218538E+02,3.387601E-02,2.664471E+02,6.057683E+02,4.257148E-01,5.536248E+03,3.387601E-02,0.000000E+00,0.000000E+00
02:00:00,3.387601E-02,4.242821E+02,3.387601E-02,2.640189E+02,6.032787E+02,4.164679E-01,5.436942E+03,3.387601E-02,0.000000E+00,0.000000E+00
