Time,LIVING_UNIT1:BRUSSELS ANNUAL HEATING 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:BRUSSELS ANNUAL HEATING 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING_UNIT1::Des Latent Heat Load [W],LIVING_UNIT1::Des Latent Cool Load [W],LIVING_UNIT1::Des Latent Heat Mass Flow [kg/s],LIVING_UNIT1::Des Latent Cool Mass Flow [kg/s],LIVING_UNIT1::Des Heat Load No DOAS [W],LIVING_UNIT1::Des Sens Cool Load No DOAS [W],LIVING_UNIT1::Des Latent Heat Load No DOAS [W],LIVING_UNIT1::Des Latent Cool Load No DOAS [W],LIVING_UNIT1:BRUSSELS ANNUAL HEATING 99.6% CONDNS DB:Heating Zone Temperature [C],LIVING_UNIT1:BRUSSELS ANNUAL HEATING 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,3.785838E+03,9.595863E+02,2.799234E-01,8.288439E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.125402E+01,4.573153E+01,2.347832E+01,4.774907E+01
00:20:00,3.756083E+03,7.511143E+02,2.862082E-01,6.487756E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153402E+01,4.560273E+01,2.395200E+01,4.694439E+01
00:30:00,4.461915E+03,5.513825E+02,3.600465E-01,4.762569E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153342E+01,4.627399E+01,2.434988E+01,4.653456E+01
00:40:00,4.921635E+03,3.598905E+02,4.113342E-01,3.108555E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153212E+01,4.683699E+01,2.453812E+01,4.662307E+01
00:50:00,5.341930E+03,1.762140E+02,4.590454E-01,1.522048E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153260E+01,4.700449E+01,2.462451E+01,4.690219E+01
01:00:00,5.728268E+03,0.000000E+00,5.036738E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153280E+01,4.698164E+01,2.470517E+01,4.735309E+01
01:10:00,4.909114E+03,0.000000E+00,4.504698E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153287E+01,4.690081E+01,2.476411E+01,4.784794E+01
01:20:00,5.287432E+03,0.000000E+00,4.851810E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153288E+01,4.681314E+01,2.480395E+01,4.837741E+01
01:30:00,4.910074E+03,0.000000E+00,4.505485E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153287E+01,4.673265E+01,2.482789E+01,4.893563E+01
01:40:00,4.762028E+03,0.000000E+00,4.369694E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153286E+01,4.665956E+01,2.484021E+01,4.951302E+01
01:50:00,4.639357E+03,0.000000E+00,4.257148E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153285E+01,4.659219E+01,2.484458E+01,5.010028E+01
02:00:00,4.538583E+03,0.000000E+00,4.164679E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153285E+01,4.653011E+01,2.484341E+01,5.069091E+01
02:10:00,4.453885E+03,0.000000E+00,4.086957E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153284E+01,4.647339E+01,2.483805E+01,5.128126E+01
02:20:00,4.382606E+03,0.000000E+00,4.021547E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153283E+01,4.641973E+01,2.482896E+01,5.186741E+01
02:30:00,4.322251E+03,0.000000E+00,3.966161E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153282E+01,4.637082E+01,2.481687E+01,5.244856E+01
02:40:00,4.270806E+03,0.000000E+00,3.918951E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153281E+01,4.632760E+01,2.480238E+01,5.302439E+01
02:50:00,4.226561E+03,0.000000E+00,3.878348E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153280E+01,4.628984E+01,2.478584E+01,5.359471E+01
03:00:00,4.188388E+03,0.000000E+00,3.843317E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153279E+01,4.625672E+01,2.476744E+01,5.415938E+01
03:10:00,4.155220E+03,0.000000E+00,3.812879E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153279E+01,4.622747E+01,2.474732E+01,5.471826E+01
03:20:00,4.126251E+03,0.000000E+00,3.786294E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153278E+01,4.620090E+01,2.472500E+01,5.527231E+01
03:30:00,4.100896E+03,0.000000E+00,3.763025E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153278E+01,4.617708E+01,2.470085E+01,5.582099E+01
03:40:00,4.078607E+03,0.000000E+00,3.742571E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153277E+01,4.615600E+01,2.467535E+01,5.636339E+01
03:50:00,4.058927E+03,0.000000E+00,3.724510E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153277E+01,4.613736E+01,2.464878E+01,5.689895E+01
04:00:00,4.041482E+03,0.000000E+00,3.708502E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153277E+01,4.612077E+01,2.462128E+01,5.742758E+01
04:10:00,4.023678E+03,0.000000E+00,3.692163E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153277E+01,4.610587E+01,2.459289E+01,5.794930E+01
