Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,3.387601E-02,3.933221E+02,7.677565E-02,8.122420E+02,1.296885E+03,2.499191E-01,3.981661E+03,3.387601E-02,0.000000E+00,0.000000E+00
00:30:00,3.387601E-02,3.987857E+02,7.033982E-02,7.291759E+02,1.197661E+03,2.521185E-01,4.008675E+03,3.387601E-02,0.000000E+00,0.000000E+00
00:45:00,3.387601E-02,4.042492E+02,6.411836E-02,6.486956E+02,1.100074E+03,2.542766E-01,4.035183E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:00:00,3.387601E-02,4.097127E+02,5.807683E-02,5.703855E+02,1.003547E+03,2.564062E-01,4.061340E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:15:00,3.387601E-02,4.133550E+02,5.284492E-02,5.036611E+02,9.199982E+02,2.579541E-01,4.080354E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:30:00,3.387601E-02,4.169974E+02,4.801263E-02,4.417545E+02,8.411447E+02,2.592583E-01,4.096373E+03,3.387601E-02,0.000000E+00,0.000000E+00
01:45:00,3.387601E-02,4.206397E+02,4.350934E-02,3.838145E+02,7.659415E+02,2.604045E-01,4.110451E+03,3.387601E-02,0.000000E+00,0.000000E+00
02:00:00,3.387601E-02,4.242821E+02,3.930031E-02,3.294223E+02,6.938967E+02,2.614393E-01,4.123160E+03,3.387601E-02,0.000000E+00,0.000000E+00
02:15:00,3.387601E-02,4.270138E+02,3.549160E-02,2.807671E+02,6.278167E+02,2.622285E-01,4.132853E+03,3.387601E-02,0.000000E+00,0.000000E+00
02:30:00,3.387601E-02,4.297456E+02,3.387601E-02,2.585554E+02,5.976769E+02,2.628901E-01,4.140978E+03,3.387601E-02,0.000000E+00,0.000000E+00
02:45:00,3.387601E-02,4.324773E+02,3.387601E-02,2.558236E+02,5.948763E+02,2.634606E-01,4.147985E+03,3.387601E-02,0.000000E+00,0.000000E+00
03:00:00,3.387601E-02,4.352091E+02,3.387601E-02,2.530919E+02,5.920758E+02,2.639596E-01,4.154113E+03,3.387601E-02,0.000000E+00,0.000000E+00
03:15:00,3.387601E-02,4.379409E+02,3.387601E-02,2.503601E+02,5.892747E+02,2.643988E-01,4.159508E+03,3.387601E-02,0.000000E+00,0.000000E+00
03:30:00,3.387601E-02,4.406726E+02,3.387601E-02,2.476284E+02,5.864741E+02,2.647832E-01,4.164230E+03,3.387601E-02,0.000000E+00,0.000000E+00
03:45:00,3.387601E-02,4.434044E+02,3.387601E-02,2.448966E+02,5.836735E+02,2.651240E-01,4.168415E+03,3.387601E-02,0.000000E+00,0.000000E+00
04:00:00,3.387601E-02,4.461361E+02,3.387601E-02,2.421648E+02,5.808729E+02,2.654306E-01,4.172180E+03,3.387601E-02,0.000000E+00,0.000000E+00
04:15:00,3.387601E-02,4.479573E+02,3.387601E-02,2.403437E+02,5.790054E+02,2.654340E-01,4.172222E+03,3.387601E-02,0.000000E+00,0.000000E+00
04:30:00,3.387601E-02,4.497785E+02,3.387601E-02,2.385225E+02,5.771384E+02,2.653270E-01,4.170907E+03,3.387601E-02,0.000000E+00,0.000000E+00
04:45:00,3.387601E-02,4.515996E+02,3.387601E-02,2.367013E+02,5.752713E+02,2.651437E-01,4.168655E+03,3.387601E-02,0.000000E+00,0.000000E+00
05:00:00,3.387601E-02,4.534208E+02,3.387601E-02,2.348802E+02,5.734043E+02,2.648983E-01,4.165640E+03,3.387601E-02,0.000000E+00,0.000000E+00
05:15:00,3.387601E-02,4.515996E+02,3.387601E-02,2.367013E+02,5.752713E+02,2.640756E-01,4.155535E+03,3.387601E-02,0.000000E+00,0.000000E+00
05:30:00,3.387601E-02,4.497785E+02,3.387601E-02,2.385225E+02,5.771384E+02,2.630107E-01,4.142455E+03,3.387601E-02,0.000000E+00,0.000000E+00
05:45:00,3.387601E-02,4.479573E+02,3.387601E-02,2.403437E+02,5.790054E+02,2.617850E-01,4.127400E+03,3.387601E-02,0.000000E+00,0.000000E+00
06:00:00,3.387601E-02,4.461361E+02,3.387601E-02,2.421648E+02,5.808729E+02,2.604376E-01,4.110849E+03,3.387601E-02,0.000000E+00,0.000000E+00
06:15:00,3.387601E-02,4.397620E+02,3.387601E-02,2.485389E+02,5.874077E+02,2.592290E-01,4.096003E+03,3.387601E-02,0.000000E+00,0.000000E+00
06:30:00,3.387601E-02,4.333879E+02,3.960291E-02,3.239634E+02,7.111908E+02,2.579928E-01,4.080819E+03,3.387601E-02,0.000000E+00,0.000000E+00
06:45:00,3.387601E-02,4.270138E+02,5.542402E-02,5.210892E+02,1.033708E+03,2.567267E-01,4.065268E+03,3.387601E-02,0.000000E+00,0.000000E+00
07:00:00,3.387601E-02,4.206397E+02,7.170327E-02,7.237334E+02,1.347394E+03,2.554341E-01,4.049389E+03,3.387601E-02,0.000000E+00,0.000000E+00
07:15:00,3.387601E-02,4.051598E+02,8.655027E-02,9.182179E+02,1.622947E+03,2.551238E-01,4.045577E+03,3.387601E-02,0.000000E+00,0.000000E+00
07:30:00,3.387601E-02,3.896798E+02,1.004817E-01,1.101674E+03,1.865326E+03,2.549221E-01,4.043098E+03,3.387601E-02,0.000000E+00,0.000000E+00
07:45:00,3.387601E-02,3.741998E+02,1.134899E-01,1.274002E+03,2.070421E+03,2.547836E-01,4.041397E+03,3.387601E-02,0.000000E+00,0.000000E+00
08:00:00,3.387601E-02,3.587199E+02,1.257457E-01,1.437262E+03,2.257529E+03,2.546917E-01,4.040268E+03,3.387601E-02,0.000000E+00,0.000000E+00
08:15:00,3.387601E-02,3.414187E+02,1.347337E-01,1.562947E+03,2.371336E+03,2.575141E-01,4.074931E+03,3.387601E-02,0.000000E+00,0.000000E+00
08:30:00,3.387601E-02,3.241176E+02,1.429440E-01,1.679256E+03,2.479345E+03,2.607551E-01,4.114741E+03,3.387601E-02,0.000000E+00,0.000000E+00
08:45:00,3.387601E-02,3.068165E+02,1.507863E-01,1.791127E+03,2.587762E+03,2.642678E-01,4.157892E+03,3.387601E-02,0.000000E+00,0.000000E+00
09:00:00,3.387601E-02,2.895153E+02,1.583366E-01,1.899475E+03,2.685312E+03,2.679874E-01,4.203585E+03,3.387601E-02,0.000000E+00,0.000000E+00
09:15:00,3.387601E-02,2.740354E+02,1.672097E-01,2.021952E+03,2.778198E+03,2.697998E-01,4.225854E+03,3.387601E-02,0.000000E+00,0.000000E+00
09:30:00,3.387601E-02,2.585554E+02,1.757039E-01,2.139855E+03,2.881685E+03,2.715875E-01,4.247817E+03,3.387601E-02,0.000000E+00,0.000000E+00
09:45:00,3.387601E-02,2.430754E+02,1.835833E-01,2.250349E+03,2.962480E+03,2.733810E-01,4.269851E+03,3.387601E-02,0.000000E+00,0.000000E+00
10:00:00,3.387601E-02,2.275955E+02,1.907773E-01,2.352578E+03,3.034826E+03,2.751824E-01,4.291981E+03,3.387601E-02,0.000000E+00,0.000000E+00
10:15:00,3.387601E-02,2.139367E+02,1.984087E-01,2.458254E+03,3.129193E+03,2.756694E-01,4.297968E+03,3.387601E-02,0.000000E+00,0.000000E+00
10:30:00,3.387601E-02,2.002779E+02,2.051768E-01,2.553525E+03,3.206085E+03,2.760106E-01,4.302160E+03,3.387601E-02,0.000000E+00,0.000000E+00
10:45:00,3.387601E-02,1.866191E+02,2.110069E-01,2.637485E+03,3.272245E+03,2.762534E-01,4.305144E+03,3.387601E-02,0.000000E+00,0.000000E+00
11:00:00,3.387601E-02,1.729603E+02,2.158319E-01,2.709325E+03,3.329885E+03,2.764231E-01,4.307228E+03,3.387601E-02,0.000000E+00,0.000000E+00
11:15:00,3.387601E-02,1.638544E+02,2.195609E-01,2.763397E+03,3.377196E+03,2.765666E-01,4.308991E+03,3.387601E-02,0.000000E+00,0.000000E+00
11:30:00,3.387601E-02,1.547486E+02,2.224154E-01,2.806922E+03,3.412863E+03,2.766732E-01,4.310300E+03,3.387601E-02,0.000000E+00,0.000000E+00
11:45:00,3.387601E-02,1.456427E+02,2.243868E-01,2.839797E+03,3.439020E+03,2.767578E-01,4.311339E+03,3.387601E-02,0.000000E+00,0.000000E+00
12:00:00,3.387601E-02,1.365369E+02,2.255991E-01,2.863519E+03,3.458281E+03,2.768254E-01,4.312170E+03,3.387601E-02,0.000000E+00,0.000000E+00
12:15:00,3.387601E-02,1.292522E+02,2.262621E-01,2.878795E+03,3.471573E+03,2.769063E-01,4.313162E+03,3.387601E-02,0.000000E+00,0.000000E+00
12:30:00,3.387601E-02,1.219675E+02,2.266721E-01,2.891019E+03,3.482320E+03,2.769852E-01,4.314131E+03,3.387601E-02,0.000000E+00,0.000000E+00
12:45:00,3.387601E-02,1.146828E+02,2.272881E-01,2.905724E+03,3.496604E+03,2.770613E-01,4.315064E+03,3.387601E-02,0.000000E+00,0.000000E+00
13:00:00,3.387601E-02,1.073981E+02,2.287343E-01,2.930438E+03,3.522284E+03,2.771345E-01,4.315963E+03,3.387601E-02,0.000000E+00,0.000000E+00
13:15:00,3.387601E-02,1.028452E+02,2.315281E-01,2.968673E+03,3.563096E+03,2.771504E-01,4.316158E+03,3.387601E-02,0.000000E+00,0.000000E+00
13:30:00,3.387601E-02,9.829224E+01,2.358260E-01,3.025031E+03,3.622755E+03,2.771595E-01,4.316268E+03,3.387601E-02,0.000000E+00,0.000000E+00
13:45:00,3.387601E-02,9.373931E+01,2.416038E-01,3.099230E+03,3.700528E+03,2.771631E-01,4.316312E+03,3.387601E-02,0.000000E+00,0.000000E+00
14:00:00,3.387601E-02,8.918638E+01,2.484848E-01,3.186728E+03,3.791957E+03,2.771620E-01,4.316300E+03,3.387601E-02,0.000000E+00,0.000000E+00
14:15:00,3.387601E-02,8.918638E+01,2.560410E-01,3.277812E+03,3.886901E+03,2.771146E-01,4.315718E+03,3.387601E-02,0.000000E+00,0.000000E+00
14:30:00,3.387601E-02,8.918638E+01,2.638862E-01,3.372400E+03,3.984839E+03,2.770449E-01,4.314862E+03,3.387601E-02,0.000000E+00,0.000000E+00
14:45:00,3.387601E-02,8.918638E+01,2.716684E-01,3.466230E+03,4.081357E+03,2.769580E-01,4.313795E+03,3.387601E-02,0.000000E+00,0.000000E+00
15:00:00,3.387601E-02,8.918638E+01,2.791027E-01,3.555866E+03,4.173034E+03,2.768570E-01,4.312556E+03,3.387601E-02,0.000000E+00,0.000000E+00
15:15:00,3.387601E-02,9.464989E+01,2.863956E-01,3.638335E+03,4.257282E+03,2.764623E-01,4.307708E+03,3.387601E-02,0.000000E+00,0.000000E+00
15:30:00,3.387601E-02,1.001134E+02,2.930424E-01,3.713014E+03,4.334227E+03,2.759366E-01,4.301251E+03,3.387601E-02,0.000000E+00,0.000000E+00
15:45:00,3.387601E-02,1.055769E+02,2.988051E-01,3.777035E+03,4.400139E+03,2.753258E-01,4.293748E+03,3.387601E-02,0.000000E+00,0.000000E+00
16:00:00,3.387601E-02,1.110404E+02,3.035057E-01,3.828260E+03,4.451410E+03,2.746554E-01,4.285513E+03,3.387601E-02,0.000000E+00,0.000000E+00
16:15:00,3.387601E-02,1.183251E+02,3.081451E-01,3.876940E+03,4.502913E+03,2.729182E-01,4.264175E+03,3.387601E-02,0.000000E+00,0.000000E+00
16:30:00,3.387601E-02,1.256098E+02,3.120056E-01,3.916229E+03,4.549056E+03,2.708438E-01,4.238694E+03,3.387601E-02,0.000000E+00,0.000000E+00
16:45:00,3.387601E-02,1.328945E+02,3.149356E-01,3.944296E+03,4.583479E+03,2.685540E-01,4.210565E+03,3.387601E-02,0.000000E+00,0.000000E+00
17:00:00,3.387601E-02,1.401792E+02,3.169554E-01,3.961378E+03,4.604106E+03,2.660955E-01,4.180365E+03,3.387601E-02,0.000000E+00,0.000000E+00
17:15:00,3.387601E-02,1.492851E+02,3.189695E-01,3.976554E+03,4.625605E+03,2.623494E-01,4.134349E+03,3.387601E-02,0.000000E+00,0.000000E+00
17:30:00,3.387601E-02,1.583909E+02,3.201780E-01,3.982014E+03,4.648786E+03,2.584516E-01,4.086468E+03,3.387601E-02,0.000000E+00,0.000000E+00
17:45:00,3.387601E-02,1.674968E+02,3.206930E-01,3.979119E+03,4.662096E+03,2.544280E-01,4.037041E+03,3.387601E-02,0.000000E+00,0.000000E+00
18:00:00,3.387601E-02,1.766026E+02,3.207236E-01,3.970389E+03,4.661676E+03,2.503037E-01,3.986377E+03,3.387601E-02,0.000000E+00,0.000000E+00
18:15:00,3.387601E-02,1.902614E+02,3.201993E-01,3.950415E+03,4.649774E+03,2.460975E-01,3.934706E+03,3.387601E-02,0.000000E+00,0.000000E+00
18:30:00,3.387601E-02,2.039202E+02,3.188568E-01,3.920576E+03,4.631073E+03,2.420669E-01,3.885191E+03,3.387601E-02,0.000000E+00,0.000000E+00
18:45:00,3.387601E-02,2.175790E+02,3.164558E-01,3.877975E+03,4.595919E+03,2.381433E-01,3.836993E+03,3.387601E-02,0.000000E+00,0.000000E+00
19:00:00,3.387601E-02,2.312378E+02,3.124303E-01,3.815783E+03,4.539018E+03,2.343018E-01,3.789805E+03,3.387601E-02,0.000000E+00,0.000000E+00
19:15:00,3.387601E-02,2.412543E+02,3.041835E-01,3.706342E+03,4.424876E+03,2.328452E-01,3.771909E+03,3.387601E-02,0.000000E+00,0.000000E+00
19:30:00,3.387601E-02,2.512707E+02,2.929013E-01,3.560304E+03,4.269641E+03,2.316591E-01,3.757340E+03,3.387601E-02,0.000000E+00,0.000000E+00
19:45:00,3.387601E-02,2.612871E+02,2.777123E-01,3.367152E+03,4.066149E+03,2.306499E-01,3.744946E+03,3.387601E-02,0.000000E+00,0.000000E+00
20:00:00,3.387601E-02,2.713036E+02,2.584302E-01,3.124644E+03,3.811270E+03,2.297690E-01,3.734129E+03,3.387601E-02,0.000000E+00,0.000000E+00
20:15:00,3.387601E-02,2.794989E+02,2.362747E-01,2.849304E+03,3.520067E+03,2.291511E-01,3.726543E+03,3.387601E-02,0.000000E+00,0.000000E+00
20:30:00,3.387601E-02,2.876941E+02,2.146106E-01,2.579886E+03,3.227719E+03,2.286492E-01,3.720383E+03,3.387601E-02,0.000000E+00,0.000000E+00
20:45:00,3.387601E-02,2.958894E+02,1.959292E-01,2.346432E+03,2.978706E+03,2.282361E-01,3.715313E+03,3.387601E-02,0.000000E+00,0.000000E+00
21:00:00,3.387601E-02,3.040847E+02,1.815268E-01,2.164572E+03,2.786786E+03,2.278926E-01,3.711098E+03,3.387601E-02,0.000000E+00,0.000000E+00
21:15:00,3.387601E-02,3.122800E+02,1.707036E-01,2.025867E+03,2.637980E+03,2.277927E-01,3.709875E+03,3.387601E-02,0.000000E+00,0.000000E+00
21:30:00,3.387601E-02,3.204752E+02,1.615442E-01,1.907224E+03,2.514973E+03,2.279641E-01,3.711983E+03,3.387601E-02,0.000000E+00,0.000000E+00
21:45:00,3.387601E-02,3.286705E+02,1.532803E-01,1.799380E+03,2.403949E+03,2.283189E-01,3.716343E+03,3.387601E-02,0.000000E+00,0.000000E+00
22:00:00,3.387601E-02,3.368658E+02,1.455967E-01,1.698533E+03,2.298886E+03,2.288115E-01,3.722395E+03,3.387601E-02,0.000000E+00,0.000000E+00
22:15:00,3.387601E-02,3.432399E+02,1.372421E-01,1.591418E+03,2.180513E+03,2.305968E-01,3.744323E+03,3.387601E-02,0.000000E+00,0.000000E+00
22:30:00,3.387601E-02,3.496140E+02,1.290003E-01,1.485663E+03,2.064505E+03,2.327346E-01,3.770581E+03,3.387601E-02,0.000000E+00,0.000000E+00
22:45:00,3.387601E-02,3.559881E+02,1.208969E-01,1.381577E+03,1.950317E+03,2.351125E-01,3.799790E+03,3.387601E-02,0.000000E+00,0.000000E+00
23:00:00,3.387601E-02,3.623622E+02,1.129204E-01,1.279021E+03,1.836364E+03,2.376760E-01,3.831277E+03,3.387601E-02,0.000000E+00,0.000000E+00
23:15:00,3.387601E-02,3.687363E+02,1.053386E-01,1.181227E+03,1.726570E+03,2.401222E-01,3.861326E+03,3.387601E-02,0.000000E+00,0.000000E+00
23:30:00,3.387601E-02,3.751104E+02,9.792616E-02,1.085479E+03,1.617706E+03,2.425951E-01,3.891701E+03,3.387601E-02,0.000000E+00,0.000000E+00
23:45:00,3.387601E-02,3.814845E+02,9.063188E-02,9.911544E+02,1.509182E+03,2.451039E-01,3.922516E+03,3.387601E-02,0.000000E+00,0.000000E+00
24:00:00,3.387601E-02,3.878586E+02,8.347268E-02,8.984588E+02,1.400149E+03,2.476450E-01,3.953727E+03,3.387601E-02,0.000000E+00,0.000000E+00
Coinc Peak   ,2.771631E-01,3.207236E-01,4.316312E+03,3.970389E+03
NonCoinc Peak,2.771631E-01,3.207236E-01,4.316312E+03,3.970389E+03
