Complexity,Loss,Equation
1,0.0038684295,"x0"
2,0.0038678786,"x0 * 0.99985194"
4,0.0038647475,"(x0 * 0.99782604) + 4.2204272e-5"
6,0.003854299,"(x1 * 0.0038054672) + (x0 * 0.9957643)"
8,0.0038539707,"((x1 * 0.00604771) + (x0 * -0.0074418783)) + x0"
16,0.0038534768,"(x2 + ((x2 * -0.9972259) + ((x0 * -1.0037719) + ((x1 * 0.006405415) + x0)))) + x0"
19,0.003853464,"(((x1 * -0.84272283) + (((x2 * -0.9960093) + (x0 + x2)) + (x1 * -0.14923447))) + (x0 * -0.004092309)) + x1"
21,0.0038529246,"x0 + (((x2 + (x1 * 0.007732641)) + (x0 * -1.0070813)) + ((x0 + ((x2 * -0.30681986) + x2)) + (x2 * -1.6912272)))"
23,0.0038526712,"((x2 * -0.9960529) + (x0 + x1)) + ((x0 + ((((x1 * -1.9922451) + (x0 * -0.6983489)) + x2) + x1)) + (x0 * -0.30634058))"
26,0.0038522566,"(-2.9936433 * x1) + ((((x0 * 0.78664654) + x1) + x1) + (x2 + ((x0 * -0.7925081) + (((x2 * -0.8507946) + (x1 + (x2 * -0.14792883))) + x0))))"
