Complexity,Loss,Equation
1,0.06888701,"x0"
3,0.06772188,"x0 * 0.9701641"
5,0.06770075,"(x0 * 0.9658686) + 1.002297e-5"
7,0.06762067,"(x0 * 0.94760615) + (0.017125163 * x1)"
9,0.067593284,"(x1 * -0.9753613) + (x1 + (x0 * 0.9632926))"
12,0.06754801,"((x1 * -0.7152761) + (x1 * -0.27473965)) + (x1 + (x0 * 0.9679262))"
13,0.06754638,"(x1 + (x0 * -0.031599466)) + ((x0 + x1) + (x1 * -1.9875342))"
14,0.06749078,"((x1 * -1.311137) + ((x0 * 0.9616876) + x1)) + ((-0.6760784 * x1) + x1)"
18,0.06749003,"(-1.311137 * x1) + ((((x0 * 0.9616876) + x1) + ((-0.6760784 * x1) + x1)) + (-0.0020122703 * x2))"
20,0.06748862,"(x1 + ((x1 * -0.6714257) + (x1 + 0.00013620166))) + (((x0 * 0.9603154) + (x1 * -1.3097386)) + (x2 * 0.0011319105))"
