Complexity,Loss,Equation
1,0.06888701,"x0"
3,0.06770066,"x0 * 0.96562773"
7,0.067535736,"(x0 * 0.95203936) + (x1 * 0.017342592)"
8,0.0672092,"(x2 * (square(x0) * -0.018805265)) + x0"
10,0.06670339,"x0 + ((x0 + (square(x0) * x2)) * -0.018805265)"
12,0.06608647,"((((x2 * cube(x0)) + 5.4212894) * -0.005004409) * x0) + x0"
13,0.06539042,"(x2 * ((x0 * -0.06942201) * ((x2 * -0.29970014) + x0))) + x0"
15,0.06531151,"x0 + ((x2 * (x0 * -0.06782853)) * (((x2 + x2) * -0.13298193) + x0))"
16,0.064549096,"((x2 * square(x0)) * ((x0 + (x2 * -0.29586077)) * (x0 * -0.018805265))) + x0"
17,0.064324036,"(((x2 * square(x0)) * (x0 * -0.018805265)) * ((-0.12366529 + x0) + (x2 * -0.29586077))) + x0"
18,0.06376365,"((((x2 * -0.31046814) + x0) * (((x0 * (x0 * x0)) * x2) * -0.030155104)) + x0) * 0.9787864"
