Complexity,Loss,Equation
1,0.06888701,"x0"
3,0.0677009,"x0 / 1.0351381"
5,0.06770066,"(x0 * -42.835762) / -44.3653"
7,0.06750967,"(x0 * 0.96490186) - (x1 / -85.00097)"
8,0.067484796,"((x0 * -42.50111) - (0.71889555 * x1)) / -44.3653"
9,0.067201726,"x0 + (((x2 * x0) * x0) / -50.71758)"
11,0.06682022,"x0 + ((((x2 * x0) * x0) + x0) / -43.753426)"
13,0.06639274,"x0 + (((x0 - x2) + (x2 * (x0 * x0))) / -38.88896)"
15,0.066384315,"(x0 + (((((x2 * x0) * x0) + x0) - x2) / -38.95163)) / 1.0028288"
20,0.06637588,"x0 + (((x0 - (x2 + x1)) + (-0.016766485 + ((x0 * 0.90260124) + ((x2 * x0) * x0)))) / -38.88896)"
21,0.06600996,"x0 + (((((x0 - (x2 + x1)) - x2) + x0) + ((x2 * x0) * (x0 + -0.016766485))) / -38.88896)"
23,0.06599503,"x0 + (((((x2 * 0.25536257) + ((x0 - (x2 + x1)) - x2)) + (x2 * (x0 * x0))) + x0) / -38.88896)"
25,0.06542695,"x0 + ((((x2 * (x0 * x0)) + ((x2 * x0) * (x0 - x2))) / -42.741894) + ((x2 * x0) * (x0 / -25.674337)))"
