Complexity,Loss,Equation
1,0.06888701,"x0"
3,0.06770074,"x0 * 0.96525824"
5,0.06770066,"(x0 * 1.5704234) / 1.6262823"
7,0.06753356,"(x0 * 0.95794487) + (x1 * 0.02352953)"
8,0.067486025,"(x0 * 0.95794487) + ((x1 * 0.025225837) / 1.6336102)"
9,0.06748559,"(x1 * 1.0142035) + ((x0 * 0.95925295) - x1)"
10,0.06748498,"(x0 * 0.95794487) + (((x1 * 0.02352953) / 1.1773094) / 1.1773094)"
12,0.06748367,"((x0 * 0.95794487) + (((x1 * 0.02352953) / 1.1773094) / 1.1773094)) / 0.99939966"
13,0.06748241,"((((x0 * x2) + x1) / 166.56517) - x0) + (x0 * 1.967161)"
14,0.067429975,"(x0 * 1.967161) + ((((x1 * 1.967161) + (x2 * x0)) / 166.56517) - x0)"
15,0.06740766,"(((x0 * x2) - (x0 - x1)) / 90.74373) + ((x0 * 1.9755143) - x0)"
16,0.0673844,"((((x0 * x2) - ((0.45342672 - x1) - x1)) / 156.50342) + (x0 * 1.9625913)) - x0"
20,0.067374505,"(((x0 * x2) - ((x0 * 1.7928374) + ((x0 - x1) - x1))) / 126.16898) + ((x0 * 1.9804189) - x0)"
