Complexity,Loss,Equation
1,0.71158874,"0.2285635"
2,0.31858066,"x0"
6,0.30977675,"(x2 + x1) / 1.1988966"
8,0.25423214,"(x1 + (x0 + x2)) / 2.3024771"
10,0.2405046,"(x2 / 2.3024771) + ((x1 + x0) / 2.1823382)"
12,0.16785331,"(x0 - (0.3103893 / (-1.3036664 / (x1 + x2)))) / 1.2394229"
13,0.16582221,"x0 - (0.28170547 / (-1.3036664 / ((x2 + x1) - x0)))"
14,0.16062963,"(x0 - (0.3103893 / (-1.3036664 / (x2 + (x1 + -0.055841748))))) / 1.2394229"
18,0.15511063,"x0 - (square(-0.53075933) / (-1.3036664 / (x1 + (x2 - (0.13100441 + (x0 / 1.0051979))))))"
20,0.14931841,"(x0 - (0.13909735 / (-1.32615 / ((x0 + (x2 + (x2 * 0.5646933))) + x1)))) / 1.2099502"
