Complexity,Loss,Equation
1,0.79867536,"0.16368969"
2,0.71456283,"x1"
4,0.43504742,"x1 + x2"
6,0.37157023,"hvac_eff(x2 + x1, 0.8327533)"
7,0.37031657,"(x1 + x2) / square(-1.2375755)"
8,0.36215514,"((x2 + x1) / 1.4568356) + 0.14338441"
9,0.36061874,"square(-0.32857203) + ((x1 + x2) / 1.4568356)"
10,0.26814064,"(x2 + x1) / (0.9180081 + hvac_eff(0.9437744, x2))"
12,0.23303853,"((x2 + x2) + x1) / (0.9180081 + square(x2))"
13,0.22302203,"((x2 + x1) + x2) / (hvac_eff(1.2806361, x2) + 1.0385675)"
16,0.22135937,"((x2 + x1) + x2) / ((x2 / x2) + hvac_eff(1.2806361, x2))"
