Complexity,Loss,Equation
1,0.70402277,"x0"
3,0.43504742,"x2 + x1"
6,0.42589128,"(-0.09675762 + x1) + x2"
13,0.42589015,"x1 + (((x2 + (x1 - x1)) + 1.3629957) + -1.4586723)"
15,0.38821805,"(x1 + exp(x2 - ((x2 * x2) - x2))) - exp(x2 - x2)"
16,0.37977567,"x1 + (exp((x2 - ((x2 * x2) - x2)) + -0.18650173) - 0.8298571)"
18,0.37348095,"x1 + (exp(x2 - (((x2 * x2) - x2) - -0.103858665)) - exp(x2 - x2))"
20,0.35588023,"exp(x2 + (x1 - ((x2 * x2) - (x2 - 0.9872619)))) - exp(-0.8039117 - square(x1))"
21,0.33280832,"exp(x1 - ((x2 * x2) - -0.79540265)) - exp(0.112451196 - square((x2 + x0) - -0.8387052))"
22,0.3137621,"exp(x1 - ((x2 * x2) - -0.8387052)) - exp(x2 - (x2 + square((x2 + x0) - -0.8387052)))"
24,0.309835,"exp(x1 - ((x2 * x2) - (x2 - 0.7536656))) - exp(square(0.22964509) - square((x2 + x0) - -0.8387052))"
26,0.30583206,"exp(-0.03311252 + (x1 - ((x2 * x2) - (x2 - 0.7536656)))) - exp(-0.10326033 - square(-0.8387052 - (x2 + x0)))"
28,0.29739293,"exp(x2 + (x1 - ((x2 * x2) - -0.91928405))) - exp(square(-0.2532404) - square((((x2 + x2) - -0.91928405) + x0) - x2))"
30,0.28728545,"(exp((x1 - 0.30764046) - ((x2 * x2) - (x2 - 0.7536656))) - exp((x1 - x1) - square(x2 + (x0 - -0.8387052)))) - -0.07553897"
