Complexity,Loss,Equation
1,0.79797995,"0.12699817"
2,0.70402277,"x0"
4,0.43504742,"x2 + x1"
6,0.37029013,"hvac_eff(x1 + x2, 0.80845255)"
8,0.28186977,"hvac_eff(x1 + (x2 + x0), 0.68943)"
10,0.21956548,"hvac_eff(x2 + x1, -0.4234175) + hvac_eff(x0, 0.90863997)"
11,0.21424885,"hvac_eff(conduct(x2 + x1, x0), 0.35329983) + x0"
12,0.20722248,"hvac_eff(x0, 0.90863997) + hvac_eff(x2 + hvac_eff(x1, 0.90863997), -0.45633247)"
16,0.19926006,"x0 + hvac_eff((x1 + hvac_eff(x2, square(0.7380982))) - conduct(x0, x2), -0.36310574)"
23,0.19447543,"x0 + hvac_eff((hvac_eff((x2 - x1) + (x0 + x0), 0.37956628) + x1) - (x0 - x2), 0.37956628)"
