Complexity,Loss,Equation
1,0.71456283,"x1"
3,0.43504742,"x2 + x1"
6,0.4272257,"x1 + (x2 - 0.093279615)"
7,0.4259459,"(x2 + x1) - square(-0.29703155)"
9,0.42591086,"0.04186224 + ((-0.14210694 + x2) + x1)"
10,0.3916921,"x1 + (square(x2) - square(x2 + -0.33224416))"
12,0.36082736,"square((x1 + 0.31975055) + x2) - square(x2 + x1)"
15,0.36071634,"square(x2 + (x1 + 0.3665954)) - square(x1 + (x2 + 0.039402522))"
18,0.360378,"square((x2 + x1) + 0.3665954) - (square((x1 + x2) + 0.039402522) - -0.012021101)"
19,0.36010465,"square(((x1 + 0.7571131) + x2) - 0.42537293) + ((x1 - square(x1 + x2)) - x1)"
