Complexity,Loss,Equation
1,0.71456283,"x1"
3,0.43504742,"x1 + x2"
6,0.37077755,"(x1 + x2) * 0.6436519"
8,0.28095126,"((x0 + x1) + x2) * 0.48127845"
10,0.21405487,"x0 + ((x1 + (x2 - x0)) * 0.13353476)"
15,0.19997542,"(((((0.2124288 * x2) - x0) + x2) + x1) * 0.15161338) + x0"
18,0.1775185,"((x2 + (((0.53616023 * x2) + x1) - (square(x0) * x0))) * 0.16416503) + x0"
19,0.17719457,"x0 + (square(-0.44228175) * (((x2 * 0.3120634) + (x1 - (x0 * square(x0)))) + x2))"
21,0.17043887,"((((square(x0) * (-0.26542848 - x0)) + (x2 * 0.29411635)) + (x1 + x2)) * 0.16416503) + x0"
26,0.16694584,"(0.120205864 * (x2 + (((-0.39548665 - x0) * square(x0)) + ((0.120205864 + (0.2124288 * (x2 + x2))) + x1)))) + x0"
29,0.15557443,"((((x2 + -0.39548665) - (x0 * square(x0))) + (0.10837484 + ((square(x2 - -0.72153556) * square(0.4953273)) + x1))) * 0.120205864) + x0"
